chr	labels	FRI	GNM	std(fri)	std(gnm)	prediction
chr4	0	0.566189	2e-06	-0.974426	-0.193043	0.00794819
chr1	0	0.326019	1e-06	-1.883352	-0.485546	0.016245782
chr7	0	0.418488	1e-06	-1.263378	-0.334154	0.5064833
chr2	0	0.429612	1e-06	-0.948142	-0.40252	0.029685259
chr8	0	0.485646	1e-06	-0.597356	-0.297746	0.010104358
chr11	0	0.354372	1e-06	-1.445799	-0.360989	0.09857941
chr6	0	0.426801	2e-06	-1.081628	-0.298252	0.0008472204
chr12	0	0.330862	1e-06	-1.459408	-0.442332	0.08246192
chr18	0	0.453272	1e-06	-1.10474	-0.323002	0.0013830662
chr5	0	0.435125	1e-06	-1.166044	-0.289197	0.02990359
chr8	0	0.407589	1e-06	-1.201819	-0.297746	0.08953911
chr6	0	0.424092	2e-06	-1.102252	-0.298252	0.072056234
chr7	0	0.418162	1e-06	-1.265758	-0.334154	0.1475268
chr4	0	0.601303	2e-06	-0.761827	-0.193043	0.0012876391
chr4	0	0.574305	1e-06	-0.925288	-0.217578	0.0040306747
chr1	0	0.393162	1e-06	-1.405046	-0.485546	0.0002001524
chrX	0	0.578568	1e-06	-1.076159	-0.25951	0.0044001043
chr13	0	0.558435	1e-06	-0.58536	-0.341006	0.16474032
chr19	0	0.277264	1e-06	-1.43415	-0.719474	0.0901472
chr10	0	0.356443	1e-06	-1.406345	-0.350029	0.0020363927
chr10	0	0.298774	1e-06	-1.931187	-0.350029	0.0025884807
chr10	0	0.316034	1e-06	-1.774105	-0.350029	6.0528517e-05
chr2	0	0.488489	1e-06	-0.424624	-0.40252	0.059122145
chr16	0	0.319524	1e-06	-1.671221	-0.387933	0.010942578
chr6	0	0.415113	1e-06	-1.170613	-0.335257	0.21107003
chr7	0	0.456874	1e-06	-0.983111	-0.334154	0.034079403
chr5	0	0.565697	2e-06	-0.163785	-0.252146	0.059773803
chr4	0	0.69328	1e-06	-0.204947	-0.217578	0.001407057
chr8	0	0.452721	1e-06	-0.852323	-0.297746	3.632903e-05
chr8	0	0.480219	1e-06	-0.639382	-0.297746	0.8065717
chr18	0	0.519909	2e-06	-0.620801	-0.303067	0.34801233
chr3	0	0.394131	1e-06	-1.216817	-0.245352	0.037592947
chr16	0	0.410794	1e-06	-1.016878	-0.387933	0.0005325675
chr4	0	0.550939	1e-06	-1.066758	-0.217578	0.013486683
chr4	0	0.714511	2e-06	-0.076403	-0.193043	0.0055576265
chr9	0	0.404864	1e-06	-1.595748	-0.337721	0.0056687295
chr3	0	0.365438	1e-06	-1.456958	-0.245352	0.0024072826
chr7	0	0.606591	2e-06	0.110015	-0.294247	0.15473217
chr14	0	0.419465	1e-06	-0.940696	-0.417507	0.06025833
chr2	0	0.449347	2e-06	-0.772664	-0.325466	0.00317505
chr2	0	0.372215	1e-06	-1.458499	-0.40252	0.012436181
chr2	0	0.403693	1e-06	-1.178606	-0.40252	0.80643094
chr4	0	0.568202	1e-06	-0.962239	-0.217578	0.010729879
chr3	0	0.405678	1e-06	-1.120176	-0.245352	0.020552158
chr4	0	0.560531	1e-06	-1.008683	-0.217578	0.0019896328
chr2	0	0.472831	1e-06	-0.563851	-0.40252	0.45815665
chr4	0	0.546556	1e-06	-1.093295	-0.217578	0.001249373
chr1	0	0.383994	1e-06	-1.470356	-0.485546	0.00041764975
chr4	0	0.606964	2e-06	-0.727552	-0.193043	0.029041767
chr8	0	0.442347	1e-06	-0.932658	-0.297746	0.009024501
chr20	0	0.320366	1e-06	-1.429735	-0.476117	0.3387863
chrX	0	0.577122	1e-06	-1.08859	-0.25951	0.028113306
chr6	0	0.457938	1e-06	-0.844571	-0.335257	0.00056687
chr7	0	0.433788	1e-06	-1.151668	-0.334154	0.11408058
chr1	0	0.387731	1e-06	-1.443734	-0.485546	0.005963385
chr11	0	0.499171	1e-06	-0.275849	-0.360989	0.08747828
chr16	0	0.368108	1e-06	-1.322907	-0.387933	0.015367389
chr14	0	0.338503	1e-06	-1.434227	-0.417507	0.0028994083
chr3	0	0.426142	1e-06	-0.948906	-0.245352	0.20062473
chr3	0	0.35382	1e-06	-1.554193	-0.245352	0.010952234
chr3	0	0.516235	1e-06	-0.194887	-0.245352	0.9174204
chr17	0	0.190748	2e-06	-2.498932	-0.597282	0.074997336
chr8	0	0.35577	1e-06	-1.603099	-0.297746	0.41137567
chr1	0	0.467281	1e-06	-0.877044	-0.485546	0.014119238
chr14	0	0.417096	1e-06	-0.955137	-0.417507	0.017968029
chr4	0	0.554405	1e-06	-1.045773	-0.217578	0.03140977
chr2	0	0.465377	1e-06	-0.63013	-0.40252	0.1611278
chrX	0	0.565242	2e-06	-1.190722	-0.232933	0.34206074
chr12	0	0.382364	1e-06	-1.071704	-0.442332	0.22045183
chr3	0	0.364162	1e-06	-1.467638	-0.245352	0.04791209
chr7	0	0.450588	1e-06	-1.029007	-0.334154	0.007949203
chr14	0	0.431994	1e-06	-0.864321	-0.417507	0.023046583
chr5	0	0.449831	1e-06	-1.053162	-0.289197	0.20274773
chr15	0	0.432847	2e-06	-0.938295	-0.396275	0.001532048
chr4	0	0.663884	1e-06	-0.382927	-0.217578	0.021062315
chr2	0	0.342927	1e-06	-1.71892	-0.40252	0.020371765
chr19	0	0.213604	1e-06	-2.046655	-0.719474	0.11146045
chr10	0	0.374697	1e-06	-1.240217	-0.350029	0.005233735
chr4	0	0.569947	1e-06	-0.951673	-0.217578	0.020762593
chrX	0	0.559953	1e-06	-1.236191	-0.25951	0.0035569668
chr8	0	0.401182	1e-06	-1.251434	-0.297746	0.001921773
chr12	0	0.288856	1e-06	-1.775626	-0.442332	0.03961122
chr2	0	0.459322	2e-06	-0.683969	-0.325466	0.0088329315
chr5	0	0.474084	1e-06	-0.866998	-0.289197	0.023895562
chr14	0	0.323864	1e-06	-1.523464	-0.417507	0.0046205223
chr8	0	0.55298	1e-06	-0.075931	-0.297746	0.014323235
chr13	0	0.5422	2e-06	-0.680486	-0.318036	0.11471394
chr8	0	0.479084	1e-06	-0.648172	-0.297746	0.0144792795
chr6	0	0.428459	1e-06	-1.069005	-0.335257	0.062078804
chr16	0	0.324933	1e-06	-1.632442	-0.387933	0.36535728
chr10	0	0.403872	1e-06	-0.974697	-0.350029	0.28655505
chr1	0	0.551492	2e-06	-0.27715	-0.40969	0.5191474
chr5	0	0.431566	1e-06	-1.193363	-0.289197	0.46354502
chr2	0	0.480382	1e-06	-0.496709	-0.40252	0.06225288
chr3	0	0.35875	1e-06	-1.512933	-0.245352	0.031231225
chr5	0	0.358383	1e-06	-1.755109	-0.289197	0.033174008
chr10	0	0.326993	1e-06	-1.674368	-0.350029	0.01832503
chr3	0	0.37183	1e-06	-1.403462	-0.245352	0.021943778
chr10	0	0.506633	2e-06	-0.039477	-0.307205	0.16151667
chr14	0	0.382915	1e-06	-1.163499	-0.417507	0.006640345
chr4	0	0.621206	1e-06	-0.641323	-0.217578	0.00073838234
chr2	0	0.521756	3e-06	-0.128824	-0.248412	0.015446037
chr2	0	0.468547	1e-06	-0.601943	-0.40252	0.0030907094
chr9	0	0.49129	1e-06	-1.202129	-0.337721	0.024676979
chr2	0	0.346642	1e-06	-1.685887	-0.40252	0.0020560622
chr4	0	0.489506	1e-06	-1.438708	-0.217578	0.00014522672
chr1	0	0.541619	2e-06	-0.347483	-0.40969	0.95122325
chr6	0	0.374549	1e-06	-1.47944	-0.335257	0.032505065
chr7	0	0.412202	1e-06	-1.309274	-0.334154	0.00808835
chr12	0	0.343499	1e-06	-1.364277	-0.442332	0.0024790764
chr4	0	0.686268	2e-06	-0.247402	-0.193043	0.07931602
chr9	0	0.43619	1e-06	-1.453077	-0.337721	4.6759844e-05
chr7	0	0.456077	1e-06	-0.98893	-0.334154	0.013971627
chr3	0	0.414001	1e-06	-1.050518	-0.245352	0.13255101
chr21	0	0.740915	2e-06	-0.634746	-0.343545	0.0012523532
chr1	0	0.499405	1e-06	-0.648202	-0.485546	0.1462053
chr2	0	0.438636	1e-06	-0.867903	-0.40252	0.07299182
chr1	0	0.527179	1e-06	-0.450349	-0.485546	0.018780828
chrX	0	0.62518	2e-06	-0.675437	-0.232933	0.0006894767
chr7	0	0.518306	1e-06	-0.534579	-0.334154	0.0034213662
chr2	0	0.48818	1e-06	-0.427372	-0.40252	0.48708615
chr3	0	0.405528	1e-06	-1.121432	-0.245352	0.0033201277
chr10	0	0.360383	1e-06	-1.370488	-0.350029	0.009534925
chr3	0	0.341616	1e-06	-1.656333	-0.245352	0.00090926886
chr8	0	0.422402	1e-06	-1.087109	-0.297746	0.13972434
chr7	0	0.578913	3e-06	-0.09207	-0.25434	0.09647882
chr1	0	0.558482	2e-06	-0.227356	-0.40969	0.08629295
chr5	0	0.532888	1e-06	-0.415624	-0.289197	0.0021332204
chr5	0	0.347927	1e-06	-1.835369	-0.289197	0.020115763
chr10	0	0.35546	1e-06	-1.415292	-0.350029	0.22940636
chr14	0	0.348908	1e-06	-1.3708	-0.417507	0.00060391426
chr13	0	0.48515	1e-06	-1.014758	-0.341006	0.00060012937
chr4	0	0.377696	1e-06	-2.115667	-0.217578	0.0004787743
chr5	0	0.40497	1e-06	-1.397511	-0.289197	0.010288924
chr5	0	0.451569	1e-06	-1.039822	-0.289197	0.020834446
chr6	0	0.404613	1e-06	-1.250553	-0.335257	0.09011808
chr6	0	0.348072	1e-06	-1.681019	-0.335257	0.0005103946
chr1	0	0.337063	1e-06	-1.804678	-0.485546	0.09274343
chr16	0	0.321175	1e-06	-1.659384	-0.387933	0.0003016889
chr9	0	0.429912	1e-06	-1.481669	-0.337721	0.00406304
chr14	0	0.436075	2e-06	-0.839444	-0.389401	0.024569362
chr20	0	0.419733	1e-06	-0.394609	-0.476117	0.02479297
chr4	0	0.559554	1e-06	-1.014598	-0.217578	0.012227923
chr13	0	0.51161	1e-06	-0.859721	-0.341006	0.26174033
chrX	0	0.582784	1e-06	-1.039914	-0.25951	0.16789287
chr14	0	0.344051	1e-06	-1.400408	-0.417507	0.011888117
chr3	0	0.418951	1e-06	-1.00909	-0.245352	0.0016755462
chr8	0	0.590722	2e-06	0.216338	-0.263348	0.12293306
chr3	0	0.355214	1e-06	-1.542527	-0.245352	0.01688093
chr3	0	0.354679	1e-06	-1.547004	-0.245352	0.00026348233
chr2	0	0.397576	1e-06	-1.232997	-0.40252	0.23807636
chr7	0	0.408082	1e-06	-1.339355	-0.334154	0.06637937
chr3	0	0.418299	1e-06	-1.014547	-0.245352	0.0021556914
chr2	0	0.400856	1e-06	-1.203832	-0.40252	0.001856327
chr10	0	0.369196	1e-06	-1.290281	-0.350029	0.008359015
chr7	0	0.431912	1e-06	-1.165366	-0.334154	0.0014102161
chr13	0	0.420676	1e-06	-1.392529	-0.341006	0.005545348
chr3	0	0.329156	1e-06	-1.760615	-0.245352	0.008095682
chr18	0	0.427545	1e-06	-1.291577	-0.323002	0.0012120903
chr5	0	0.378776	1e-06	-1.598574	-0.289197	0.0048258007
chr7	0	0.450367	1e-06	-1.03062	-0.334154	0.009301871
chr7	0	0.50759	1e-06	-0.612819	-0.334154	0.10565093
chr3	0	0.360353	1e-06	-1.499517	-0.245352	0.0016365647
chr6	0	0.431633	1e-06	-1.04484	-0.335257	0.38803172
chr2	0	0.477509	1e-06	-0.522255	-0.40252	0.036872804
chr1	0	0.338397	1e-06	-1.795175	-0.485546	0.0015993416
chr10	0	0.44273	1e-06	-0.621053	-0.350029	0.37058836
chr3	0	0.291158	1e-06	-2.078633	-0.245352	0.0030028522
chr8	0	0.456642	1e-06	-0.821959	-0.297746	0.0016628206
chr5	0	0.392202	1e-06	-1.495517	-0.289197	0.00050607324
chrX	0	0.614836	1e-06	-0.764364	-0.25951	0.0037445426
chr2	0	0.395078	1e-06	-1.255208	-0.40252	0.0057660937
chr5	0	0.49142	1e-06	-0.733929	-0.289197	0.0014387667
chr1	0	0.433292	1e-06	-1.119171	-0.485546	0.0016690791
chr8	0	0.366039	1e-06	-1.523577	-0.297746	0.0039309263
chr6	0	0.42489	1e-06	-1.096177	-0.335257	0.11466262
chr9	0	0.575951	1e-06	-0.816549	-0.337721	0.3902098
chr5	0	0.444036	1e-06	-1.097644	-0.289197	0.08310327
chr8	0	0.392158	1e-06	-1.321315	-0.297746	0.003927022
chrX	0	0.524926	1e-06	-1.537317	-0.25951	0.008915961
chrX	0	0.607168	2e-06	-0.830285	-0.232933	0.0029933155
chr5	0	0.396613	1e-06	-1.461659	-0.289197	4.4852495e-05
chr13	0	0.466238	1e-06	-1.125568	-0.341006	0.00011816621
chr10	0	0.408307	1e-06	-0.934335	-0.350029	0.054872304
chr16	0	0.304218	1e-06	-1.780954	-0.387933	0.6533847
chr11	0	0.324019	1e-06	-1.691046	-0.360989	0.0024024844
chr4	0	0.574684	1e-06	-0.922993	-0.217578	0.00520882
chr1	0	0.398647	1e-06	-1.365972	-0.485546	0.005202174
chr1	0	0.536471	2e-06	-0.384155	-0.40969	0.011320442
chr4	0	0.558023	1e-06	-1.023868	-0.217578	0.0034542084
chr16	0	0.425989	1e-06	-0.90794	-0.387933	0.01414004
chr3	0	0.367928	1e-06	-1.436119	-0.245352	0.012341797
chr2	0	0.455426	2e-06	-0.718611	-0.325466	0.06943917
chr9	0	0.532339	1e-06	-1.015176	-0.337721	0.3639307
chr2	0	0.385933	1e-06	-1.336523	-0.40252	0.0024838448
chr9	0	0.401127	1e-06	-1.612768	-0.337721	0.026463479
chr5	0	0.432976	1e-06	-1.18254	-0.289197	0.17248759
chr4	0	0.53302	1e-06	-1.17525	-0.217578	0.0007929802
chrX	0	0.615839	1e-06	-0.755741	-0.25951	0.0688394
chr7	0	0.383991	1e-06	-1.51525	-0.334154	0.0560984
chr3	0	0.454294	1e-06	-0.713292	-0.245352	0.25008655
chr4	0	0.570158	1e-06	-0.950396	-0.217578	0.08208385
chr3	0	0.485053	2e-06	-0.45586	-0.208421	0.0031356215
chr8	0	0.516615	2e-06	-0.357536	-0.263348	0.9419619
chr4	0	0.550688	1e-06	-1.068278	-0.217578	0.0019182563
chr1	0	0.398858	1e-06	-1.364469	-0.485546	0.12147054
chr14	0	0.358827	1e-06	-1.310336	-0.417507	0.009064138
chr7	0	0.467059	1e-06	-0.908747	-0.334154	0.29895425
chr9	0	0.42978	1e-06	-1.482271	-0.337721	0.00037524104
chr16	0	0.476089	2e-06	-0.548758	-0.363549	0.17677674
chr2	0	0.443564	1e-06	-0.824085	-0.40252	0.027717024
chr3	0	0.402549	1e-06	-1.146364	-0.245352	0.052578896
chr12	0	0.392449	2e-06	-0.995785	-0.394027	0.0009331405
chr7	0	0.4122	1e-06	-1.309288	-0.334154	0.0001014173
chr7	0	0.589114	2e-06	-0.01759	-0.294247	0.7360104
chr16	0	0.338729	1e-06	-1.533534	-0.387933	0.04350692
chr5	0	0.508324	2e-06	-0.604175	-0.252146	0.08310789
chr17	0	0.368308	3e-06	-0.778182	-0.544721	0.08137384
chrX	0	0.641805	1e-06	-0.532512	-0.25951	0.0050156713
chr12	0	0.316473	1e-06	-1.567727	-0.442332	0.021089196
chr2	0	0.442683	2e-06	-0.831918	-0.325466	0.00060614944
chrX	0	0.549024	1e-06	-1.330147	-0.25951	0.021445453
chr10	0	0.34512	1e-06	-1.509395	-0.350029	0.4661368
chr2	0	0.505337	1e-06	-0.274817	-0.40252	0.75213593
chr4	0	0.605367	1e-06	-0.737221	-0.217578	0.01764056
chr8	0	0.54272	2e-06	-0.155383	-0.263348	0.05563116
chr1	0	0.417352	1e-06	-1.232723	-0.485546	0.09437859
chr3	0	0.382738	1e-06	-1.312169	-0.245352	0.17837414
chr5	0	0.395561	1e-06	-1.469734	-0.289197	0.25339475
chr1	0	0.519139	1e-06	-0.507623	-0.485546	0.82391906
chr15	0	0.430278	2e-06	-0.957978	-0.396275	0.011213332
chr2	0	0.374996	1e-06	-1.433772	-0.40252	0.001422584
chrX	0	0.614811	1e-06	-0.764579	-0.25951	0.33748
chr4	0	0.569298	1e-06	-0.955603	-0.217578	0.0007838905
chr7	0	0.440815	1e-06	-1.100362	-0.334154	0.009989947
chr7	0	0.446234	1e-06	-1.060797	-0.334154	0.040626436
chr9	0	0.587806	1e-06	-0.762557	-0.337721	0.05736029
chr7	0	0.412421	1e-06	-1.307675	-0.334154	0.0024071336
chr9	0	0.611945	2e-06	-0.652618	-0.317218	0.042121768
chr4	0	0.582634	1e-06	-0.874859	-0.217578	0.003034234
chr6	0	0.383638	1e-06	-1.410243	-0.335257	0.19536543
chr4	0	0.566826	1e-06	-0.97057	-0.217578	0.00925836
chr7	0	0.461019	2e-06	-0.952847	-0.294247	0.5142382
chr18	0	0.419392	1e-06	-1.350787	-0.323002	0.045020998
chr14	0	0.349521	1e-06	-1.367063	-0.417507	0.0011333525
chr14	0	0.360891	1e-06	-1.297754	-0.417507	0.123995125
chr3	0	0.529517	1e-06	-0.083726	-0.245352	0.06215173
chr4	0	0.633265	1e-06	-0.568311	-0.217578	0.14185286
chr2	0	0.357085	1e-06	-1.593031	-0.40252	0.24334928
chr8	0	0.546212	1e-06	-0.128341	-0.297746	0.35544738
chr10	0	0.335955	1e-06	-1.592805	-0.350029	0.05400893
chr3	0	0.313042	1e-06	-1.895478	-0.245352	0.009020805
chr9	0	0.438757	1e-06	-1.441386	-0.337721	0.0040406883
chr6	0	0.359316	1e-06	-1.595414	-0.335257	0.0032702386
chr1	0	0.424511	1e-06	-1.181725	-0.485546	0.00042811036
chr9	0	0.647582	2e-06	-0.490313	-0.317218	0.13252676
chr7	0	0.42179	1e-06	-1.239269	-0.334154	8.261204e-05
chr14	0	0.367557	1e-06	-1.257119	-0.417507	0.00718382
chr16	0	0.289724	1e-06	-1.884866	-0.387933	0.04453832
chr4	0	0.645511	1e-06	-0.494167	-0.217578	0.013577253
chr5	0	0.548255	1e-06	-0.297668	-0.289197	0.00028443336
chr10	0	0.497907	3e-06	-0.118891	-0.264381	0.7616513
chr4	0	0.522868	1e-06	-1.236716	-0.217578	4.798174e-06
chr9	0	0.586401	1e-06	-0.768956	-0.337721	0.5297071
chr14	0	0.393214	1e-06	-1.100718	-0.417507	0.010409683
chr10	0	0.336059	1e-06	-1.591859	-0.350029	0.25349075
chr11	0	0.394358	1e-06	-1.122719	-0.360989	0.083725095
chr3	0	0.384078	1e-06	-1.300954	-0.245352	0.00038275123
chrX	0	0.668624	2e-06	-0.30195	-0.232933	0.0411503
chr16	0	0.474922	1e-06	-0.557125	-0.387933	0.004018098
chr3	0	0.360586	1e-06	-1.497566	-0.245352	0.0024511814
chr1	0	0.373273	1e-06	-1.546729	-0.485546	0.004983872
chr2	0	0.353802	1e-06	-1.622223	-0.40252	0.07557556
chr1	0	0.519775	2e-06	-0.503093	-0.40969	0.7752385
chr1	0	0.389359	1e-06	-1.432137	-0.485546	0.099473536
chr20	0	0.385846	2e-06	-0.747617	-0.444505	0.2090432
chr17	0	0.300559	1e-06	-1.434744	-0.649844	0.009844869
chr2	0	0.482211	1e-06	-0.480446	-0.40252	0.055654764
chr11	0	0.412067	1e-06	-0.979634	-0.360989	0.22105727
chr14	0	0.328722	1e-06	-1.493851	-0.417507	0.043918192
chr16	0	0.482194	2e-06	-0.504989	-0.363549	0.07991633
chr7	0	0.481112	2e-06	-0.806143	-0.294247	0.0005763769
chr2	0	0.395803	1e-06	-1.248762	-0.40252	0.0009635389
chr21	0	0.575787	1e-06	-1.056941	-0.348593	0.05790773
chrX	0	0.636189	1e-06	-0.580793	-0.25951	0.046100706
chr2	0	0.360277	1e-06	-1.564649	-0.40252	0.00021353364
chr1	0	0.349297	1e-06	-1.717527	-0.485546	0.000692606
chr4	0	0.531515	1e-06	-1.184362	-0.217578	0.009239316
chr13	0	0.559247	1e-06	-0.580603	-0.341006	0.090048134
chr1	0	0.414421	1e-06	-1.253603	-0.485546	0.00047516823
chr2	0	0.440144	1e-06	-0.854494	-0.40252	0.02255562
chr3	0	0.316722	1e-06	-1.864679	-0.245352	0.00088101625
chr7	0	0.412259	1e-06	-1.308858	-0.334154	0.012321413
chr2	0	0.383054	1e-06	-1.362122	-0.40252	0.037530184
chrX	0	0.689931	1e-06	-0.118775	-0.25951	0.012961715
chr5	0	0.397036	1e-06	-1.458412	-0.289197	0.008640468
chr2	0	0.476803	1e-06	-0.528533	-0.40252	0.6103152
chr2	0	0.441598	1e-06	-0.841566	-0.40252	0.0060712993
chr16	0	0.334357	1e-06	-1.564878	-0.387933	0.03585136
chr2	0	0.439611	1e-06	-0.859233	-0.40252	0.4601324
chr7	0	0.404109	1e-06	-1.368363	-0.334154	0.0029714108
chr4	0	0.540682	1e-06	-1.12886	-0.217578	0.004162729
chr7	0	0.432681	1e-06	-1.159751	-0.334154	0.43407065
chrX	0	0.572113	1e-06	-1.131652	-0.25951	0.010362148
chr4	0	0.677384	1e-06	-0.30119	-0.217578	0.53465915
chr3	0	0.42278	1e-06	-0.977044	-0.245352	0.00035122037
chr5	0	0.440725	1e-06	-1.123059	-0.289197	0.11532131
chr2	0	0.375508	1e-06	-1.429219	-0.40252	0.016474605
chr8	0	0.43	1e-06	-1.028272	-0.297746	0.0277057
chr20	0	0.343387	2e-06	-1.189921	-0.444505	0.12386945
chr5	0	0.458075	1e-06	-0.989882	-0.289197	0.48805386
chr13	0	0.445962	1e-06	-1.244371	-0.341006	0.017445773
chr15	0	0.38425	1e-06	-1.310624	-0.424557	0.0130652785
chr2	0	0.425802	1e-06	-0.982019	-0.40252	0.6277685
chr2	0	0.420311	1e-06	-1.030844	-0.40252	0.15900972
chr10	0	0.416282	2e-06	-0.861755	-0.307205	0.0026723146
chr11	0	0.491621	2e-06	-0.336852	-0.326244	0.7248341
